lau_id,gisco_id,name,nuts3_id,nuts3_name,pop_2024,pop_density,area_km2,dist_capital_km,dist_bratislava_km,dist_uni_km,dist_airport_km,dist_motorway_km,dist_railway_km,urban_class,density_class,is_regional_capital,econ_proximity,econ_potential,edu_access_score,edu_infra_score,transport_score,connectivity_score,remoteness_index
528901,SK_528901,Nižný Hrabovec,SK041,Prešovský kraj,1594.0,141.24080526,11.2856904,41.1,351.7,40.5,43.7,40.4,39.7,Large Village (1K-5K),Medium (100-500/km²),No,58.9,38.7,39.2,64.1,59.3,55.2,44.8
515264,SK_515264,Ožďany,SK032,Banskobystrický kraj,1590.0,42.80475894,37.14540251,68.1,208.2,59.2,63.4,67.4,61.0,Large Village (1K-5K),Sparse (<100/km²),No,31.9,100,11.2,64.0,35.4,29.5,70.5
557595,SK_557595,Sádočné,SK022,Trenčiansky kraj,159.0,21.16739772,7.51155159,38.7,142.5,27.8,59.7,8.5,27.8,Small Village (<1K),Sparse (<100/km²),No,61.3,100,58.3,44.1,76.5,68.3,31.7
519855,SK_519855,Šašová,SK041,Prešovský kraj,159.0,30.09049432,5.28406075,32.9,341.9,32.9,68.0,61.7,33.1,Small Village (<1K),Sparse (<100/km²),No,67.1,32.0,50.7,44.1,46.8,53.7,46.3
520888,SK_520888,Topoľa,SK041,Prešovský kraj,159.0,6.0265666,26.38318144,81.8,398.9,81.8,92.5,89.1,82.0,Small Village (<1K),Sparse (<100/km²),No,18.2,0.6,0,44.1,12.7,11.8,88.2
521060,SK_521060,Zbojné,SK041,Prešovský kraj,159.0,8.75608049,18.15880978,57.3,375.6,57.3,77.0,72.2,57.5,Small Village (<1K),Sparse (<100/km²),No,42.7,13.4,14.1,44.1,31.9,31.6,68.4
516457,SK_516457,Trebušovce,SK032,Banskobystrický kraj,159.0,16.75996447,9.48689362,69.3,155.9,51.0,58.2,41.4,51.8,Small Village (<1K),Sparse (<100/km²),No,30.7,100,23.5,44.1,52.3,40.1,59.9
504904,SK_504904,Štefanov,SK021,Trnavský kraj,1589.0,71.95921989,22.08195145,44.2,59.7,44.2,46.5,45.0,44.2,Large Village (1K-5K),Sparse (<100/km²),No,55.8,100,33.7,64.0,55.0,51.0,49.0
543047,SK_543047,Klátova Nová Ves,SK022,Trenčiansky kraj,1589.0,45.38607293,35.01074002,43.8,99.0,30.8,36.6,12.9,30.2,Large Village (1K-5K),Sparse (<100/km²),No,56.2,100,53.8,64.0,77.4,66.3,33.7
501981,SK_501981,Veľké Blahovo,SK021,Trnavský kraj,1588.0,87.59738115,18.12839584,38.5,38.3,38.3,32.2,34.6,38.2,Large Village (1K-5K),Sparse (<100/km²),No,61.5,100,42.6,64.0,64.6,59.3,40.7
521876,SK_521876,Perín-Chym,SK042,Košický kraj,1582.0,38.11085199,41.51048631,21.0,303.1,21.0,15.2,21.4,21.8,Large Village (1K-5K),Sparse (<100/km²),No,79.0,77.5,68.5,64.0,79.5,77.2,22.8
510874,SK_510874,Nižná Boca,SK031,Žilinský kraj,158.0,6.27313571,25.18676582,81.7,215.7,37.2,36.5,14.3,37.1,Small Village (<1K),Sparse (<100/km²),No,18.3,100,44.2,44.0,74.4,51.5,48.5
557269,SK_557269,Turecká,SK032,Banskobystrický kraj,158.0,15.53926073,10.16779387,14.8,165.6,14.8,25.4,14.9,15.0,Small Village (<1K),Sparse (<100/km²),No,85.2,100,77.8,44.0,83.3,82.8,17.2
559610,SK_559610,Rokytovce,SK041,Prešovský kraj,158.0,21.40713641,7.38071627,55.3,371.4,55.3,82.0,76.4,55.6,Small Village (<1K),Sparse (<100/km²),No,44.7,15.7,17.1,44.0,29.6,31.6,68.4
526827,SK_526827,Lacková,SK041,Prešovský kraj,158.0,25.43145457,6.21277873,59.3,286.2,59.3,36.8,46.3,32.6,Small Village (<1K),Sparse (<100/km²),No,40.7,62.6,11.1,44.0,59.9,44.4,55.6
518174,SK_518174,Bacúrov,SK032,Banskobystrický kraj,158.0,16.46181943,9.59796702,25.8,149.3,9.9,14.7,26.0,9.1,Small Village (<1K),Sparse (<100/km²),No,74.2,100,85.2,44.0,81.5,80.1,19.9
